song,singer,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I'm a Believer - 2006 Remaster,The Monkees,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,audio_features,3G7tRC24Uh09Hmp1KZ7LQ2,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2,167373,4
Viva Las Vegas,Elvis Presley,spotify:track:5Q7ayTarb9Tpmkik5cVMug,0.608,0.567,7,-11.297,1,0.0445,0.819,0.0,0.344,0.861,144.034,audio_features,5Q7ayTarb9Tpmkik5cVMug,spotify:track:5Q7ayTarb9Tpmkik5cVMug,https://api.spotify.com/v1/tracks/5Q7ayTarb9Tpmkik5cVMug,https://api.spotify.com/v1/audio-analysis/5Q7ayTarb9Tpmkik5cVMug,144840,4
Here Comes The Sun - Remastered 2009,The Beatles,spotify:track:6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,audio_features,6dGnYIeXmHdcikdzNNDMm2,spotify:track:6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/tracks/6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/audio-analysis/6dGnYIeXmHdcikdzNNDMm2,185733,4
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,spotify:track:0iOZM63lendWRTTeKhZBSC,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,audio_features,0iOZM63lendWRTTeKhZBSC,spotify:track:0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/tracks/0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/audio-analysis/0iOZM63lendWRTTeKhZBSC,244027,4
"Sugar, Sugar",The Archies,spotify:track:3joeQA8GGsVOf2lfgsGAtq,0.78,0.524,2,-12.072,1,0.0321,0.668,6.47e-05,0.293,0.953,124.181,audio_features,3joeQA8GGsVOf2lfgsGAtq,spotify:track:3joeQA8GGsVOf2lfgsGAtq,https://api.spotify.com/v1/tracks/3joeQA8GGsVOf2lfgsGAtq,https://api.spotify.com/v1/audio-analysis/3joeQA8GGsVOf2lfgsGAtq,163716,4
Wouldn't It Be Nice - Remastered 2000 / Stereo Mix,The Beach Boys,spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,audio_features,2Gy7qnDwt8Z3MNxqat4CsK,spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,https://api.spotify.com/v1/tracks/2Gy7qnDwt8Z3MNxqat4CsK,https://api.spotify.com/v1/audio-analysis/2Gy7qnDwt8Z3MNxqat4CsK,153205,4
You Can't Hurry Love,The Supremes,spotify:track:1OppEieGNdItZbE14gLBEv,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,audio_features,1OppEieGNdItZbE14gLBEv,spotify:track:1OppEieGNdItZbE14gLBEv,https://api.spotify.com/v1/tracks/1OppEieGNdItZbE14gLBEv,https://api.spotify.com/v1/audio-analysis/1OppEieGNdItZbE14gLBEv,167933,4
Superstition - Single Version,Stevie Wonder,spotify:track:1h2xVEoJORqrg71HocgqXd,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,audio_features,1h2xVEoJORqrg71HocgqXd,spotify:track:1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/tracks/1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/audio-analysis/1h2xVEoJORqrg71HocgqXd,245493,4
Twist And Shout - Remastered 2009,The Beatles,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,audio_features,5ZBeML7Lf3FMEVviTyvi8l,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,155227,4
No Diggity,Blackstreet,spotify:track:0AvV49z4EPz5ocYN7eKGAK,0.868,0.646,1,-4.674,0,0.288,0.303,0.0,0.284,0.67,88.641,audio_features,0AvV49z4EPz5ocYN7eKGAK,spotify:track:0AvV49z4EPz5ocYN7eKGAK,https://api.spotify.com/v1/tracks/0AvV49z4EPz5ocYN7eKGAK,https://api.spotify.com/v1/audio-analysis/0AvV49z4EPz5ocYN7eKGAK,304600,4
Gangsta's Paradise,Coolio,spotify:track:7lQWRAjyhTpCWFC0jmclT4,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974,audio_features,7lQWRAjyhTpCWFC0jmclT4,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/audio-analysis/7lQWRAjyhTpCWFC0jmclT4,240693,4
My Name Is,Eminem,spotify:track:0l08dcPEqNEUhymVBext8h,0.833,0.681,5,-6.248,0,0.356,0.0406,0.0,0.0926,0.839,85.497,audio_features,0l08dcPEqNEUhymVBext8h,spotify:track:0l08dcPEqNEUhymVBext8h,https://api.spotify.com/v1/tracks/0l08dcPEqNEUhymVBext8h,https://api.spotify.com/v1/audio-analysis/0l08dcPEqNEUhymVBext8h,268400,4
Be My Lover,La Bouche,spotify:track:3vSn1frPgFcRXrjWOfhMLl,0.658,0.963,1,-3.283,0,0.0326,0.00283,2.38e-06,0.951,0.793,134.798,audio_features,3vSn1frPgFcRXrjWOfhMLl,spotify:track:3vSn1frPgFcRXrjWOfhMLl,https://api.spotify.com/v1/tracks/3vSn1frPgFcRXrjWOfhMLl,https://api.spotify.com/v1/audio-analysis/3vSn1frPgFcRXrjWOfhMLl,240867,4
Diggiloo Diggiley,Herreys,spotify:track:4NzirQ4BrNkVaPEla2ipG4,0.681,0.876,5,-4.104,1,0.0319,0.268,9.96e-06,0.131,0.961,130.89,audio_features,4NzirQ4BrNkVaPEla2ipG4,spotify:track:4NzirQ4BrNkVaPEla2ipG4,https://api.spotify.com/v1/tracks/4NzirQ4BrNkVaPEla2ipG4,https://api.spotify.com/v1/audio-analysis/4NzirQ4BrNkVaPEla2ipG4,187520,4
Captain Jack - Short Mix,Captain Jack,spotify:track:2L5FEDC0MU2a6OEkLjByEd,0.667,0.999,1,-4.375,0,0.0828,0.0726,4.16e-05,0.238,0.566,149.875,audio_features,2L5FEDC0MU2a6OEkLjByEd,spotify:track:2L5FEDC0MU2a6OEkLjByEd,https://api.spotify.com/v1/tracks/2L5FEDC0MU2a6OEkLjByEd,https://api.spotify.com/v1/audio-analysis/2L5FEDC0MU2a6OEkLjByEd,248533,4
Sing Hallelujah!,Dr. Alban,spotify:track:6RQtvdmW0fnWv1VOKpgYcq,0.719,0.795,5,-7.232,0,0.0387,0.00225,0.00664,0.34,0.844,124.694,audio_features,6RQtvdmW0fnWv1VOKpgYcq,spotify:track:6RQtvdmW0fnWv1VOKpgYcq,https://api.spotify.com/v1/tracks/6RQtvdmW0fnWv1VOKpgYcq,https://api.spotify.com/v1/audio-analysis/6RQtvdmW0fnWv1VOKpgYcq,241067,4
